Misin01G000100	AT1G09020
Misin07G067700	AT3G26320
Misin07G067800	AT5G57260
Misin07G067900	AT4G35220
Misin07G068000	AT4G34180
Misin07G068000	AT4G35220
Misin07G068100	AT4G38040
Misin07G068200	AT5G63420
Misin07G068300	AT5G63420
Misin07G068400	AT4G13150
Misin07G068500	AT5G58170
Misin07G068600	AT1G21065
Misin07G068700	AT2G15290
Misin07G068800	AT5G67300
Misin07G068900	AT3G19450
Misin07G069000	AT4G15480
Misin07G069100	None
Misin07G069200	AT1G80060
Misin07G069300	None
Misin07G069400	AT3G27160
Misin07G069500	None
Misin07G069600	None
Misin07G069700	AT2G32900
Misin07G069800	None
Misin07G069900	AT3G01435
Misin07G070000	AT2G04570
Misin07G070100	None
Misin07G070200	None
Misin07G070300	AT1G50640
Misin07G070400	AT5G63090
Misin07G070500	None
Misin07G070600	None
Misin07G070700	None
Misin07G070800	AT3G28345
Misin07G070900	AT3G28345
Misin07G071000	None
Misin07G071100	AT3G09100
Misin07G071100	AT5G01290
Misin07G071200	None
Misin07G071300	None
Misin07G071400	AT1G13600
Misin07G071500	AT5G15820
Misin07G071600	AT3G30390
Misin07G071700	AT5G49550
Misin07G071800	AT3G30380
Misin07G071900	None
Misin07G072000	AT3G10230
Misin07G072100	AT4G22130
Misin07G072200	None
Misin07G072300	None
Misin07G072400	None
Misin07G072500	None
Misin07G072600	None
Misin07G072700	AT1G67170
Misin07G072800	None
Misin07G072900	AT4G25760
Misin07G073000	AT5G28900
Misin07G073100	AT3G54950
Misin07G073200	AT5G22740
Misin07G073300	AT5G33280
Misin07G073400	None
Misin07G073500	AT2G45910
Misin07G073600	AT3G01460
Misin07G073700	AT3G01460
Misin07G073800	AT1G51130
Misin07G073900	AT3G12130
Misin07G073900	AT5G06770
Misin07G074000	AT2G44350
Misin07G074100	AT1G30890
Misin07G074200	None
Misin07G074300	AT1G60620
Misin07G074400	AT2G33610
Misin07G074500	AT1G42990
Misin07G074600	AT2G22370
Misin07G074700	AT4G38200
Misin07G074800	AT4G38200
Misin07G074900	AT4G38200
Misin07G075000	AT2G33560
Misin07G075100	AT3G51500
Misin07G075200	None
Misin07G075300	AT1G76600
Misin07G075400	AT1G76590
Misin07G075500	AT2G33580
Misin07G075600	AT3G52960
Misin07G075700	AT5G07280
Misin07G075800	AT5G07280
Misin07G075900	AT4G22130
Misin07G076000	AT3G45140
Misin07G076100	AT2G42230
Misin07G076200	AT5G06839
Misin07G076300	AT3G12150
Misin07G076400	None
Misin07G076500	AT5G12960
Misin07G076600	None
Misin07G076700	AT5G12960
Misin07G076800	AT1G51200
Misin07G076900	AT3G12170
Misin07G077000	AT1G26480
Misin07G077100	None
Misin07G077200	None
Misin07G077300	AT3G20870
Misin07G077400	AT5G19620
Misin07G077500	AT1G63440
Misin07G077600	AT2G04540
Misin07G077700	AT1G12050
Misin07G077800	AT3G07820
Misin07G077900	None
Misin07G078000	AT5G46030
Misin07G078100	AT5G39710
Misin07G078200	AT5G23850
Misin07G078300	AT1G53450
Misin07G078300	AT3G14830
Misin07G078400	None
Misin07G078500	AT1G06470
Misin07G078600	None
Misin07G078700	AT1G13060
Misin07G078800	AT2G43940
Misin07G078900	AT2G42620
Misin07G079000	AT1G06470
Misin07G079100	AT1G78810
Misin07G079200	AT1G13060
Misin07G079300	None
Misin07G079400	AT2G43940
Misin07G079500	AT2G42620
Misin07G079600	AT2G04540
Misin07G079700	AT1G55580
Misin07G079800	AT3G15395
Misin07G079900	AT5G48330
Misin07G080000	AT4G17150
Misin07G080100	AT4G26470
Misin07G080200	AT5G05140
Misin07G080300	None
Misin07G080400	AT4G21160
Misin07G080500	None
Misin07G080600	AT5G48310
Misin07G080700	AT3G13235
Misin07G080800	AT2G04160
Misin07G080900	AT4G12690
Misin07G081000	AT3G06040
Misin07G081100	AT3G50950
Misin07G081200	AT4G26555
Misin07G081300	AT4G12560
Misin07G081400	None
Misin07G081500	AT3G02490
Misin07G081600	AT3G50060
Misin07G081700	AT1G03370
Misin07G081800	AT1G45000
Misin07G081900	AT3G15800
Misin07G082000	None
Misin07G082100	None
Misin07G082200	AT4G32330
Misin07G082300	AT2G25490
Misin07G082400	AT4G35160
Misin07G082500	AT1G52560
Misin07G082600	AT5G25360
Misin07G082700	AT3G02645
Misin07G082800	None
Misin07G082900	None
Misin07G083000	AT3G15760
Misin07G083100	AT5G51050
Misin07G083200	AT2G47210
Misin07G083300	AT5G24100
Misin07G083400	None
Misin07G083500	AT5G40530
Misin07G083600	AT1G08750
Misin07G083700	None
Misin07G083800	AT1G15360
Misin07G083900	AT3G02065
Misin07G084000	AT5G20150
Misin07G084100	AT5G51200
Misin07G084200	AT4G32400
Misin07G084300	AT2G34160
Misin07G084400	AT5G01990
Misin07G084500	AT2G25570
Misin07G084600	AT1G55270
Misin07G084700	AT5G11260
Misin07G084800	None
Misin07G084900	AT3G15680
Misin07G085000	AT5G65520
Misin07G085100	AT3G63400
Misin07G085200	AT3G15620
Misin07G085300	AT3G15620
Misin07G085400	AT3G15620
Misin07G085500	AT2G26710
Misin07G085600	AT5G11420
Misin07G085700	AT5G19990
Misin07G085800	AT3G15610
Misin07G085900	AT2G26640
Misin07G086000	AT1G05690
Misin07G086100	None
Misin07G086200	AT2G36760
Misin07G086300	AT5G07360
Misin07G086400	AT4G34139
Misin07G086500	None
Misin07G086600	AT2G36800
Misin07G086700	AT4G34139
Misin07G086800	None
Misin07G086900	AT1G80300
Misin07G087000	AT5G19960
Misin07G087100	AT1G15520
Misin07G087200	AT1G15520
Misin07G087300	None
Misin07G087400	AT1G08510
Misin07G087500	None
Misin07G087600	None
Misin07G087700	AT1G80440
Misin07G087800	AT2G25640
Misin07G087900	AT3G04580
Misin07G088000	AT3G47570
Misin07G088100	AT3G28890
Misin07G088200	AT4G38130
Misin07G088300	None
Misin07G088400	AT5G62760
Misin07G088500	AT1G14420
Misin07G088600	AT1G74700
Misin07G088700	None
Misin07G088800	None
Misin07G088900	None
Misin07G089000	None
Misin07G089100	None
Misin07G089200	AT3G47790
Misin07G089300	AT3G47790
Misin07G089400	AT3G47780
Misin07G089500	AT3G47790
Misin07G089600	AT5G24750
Misin07G089700	AT1G61290
Misin07G089800	AT2G02030
Misin07G089900	AT1G30470
Misin07G090000	None
Misin07G090100	AT2G36850
Misin07G090200	AT2G02030
Misin07G090300	None
Misin07G090400	AT4G26055
Misin07G090500	None
Misin07G090600	AT1G52360
Misin07G090600	AT1G79990
Misin07G090700	AT4G13350
Misin07G090800	AT5G20480
Misin07G090900	AT3G47090
Misin07G091000	AT4G21390
Misin07G091100	AT5G60710
Misin07G091200	None
Misin07G091300	None
Misin07G091400	None
Misin07G091500	None
Misin07G091600	None
Misin07G091700	None
Misin07G091800	None
Misin07G091900	None
Misin07G092000	None
Misin07G092100	AT3G04680
Misin07G092200	AT1G69960
Misin07G092300	None
Misin07G092400	None
Misin07G092500	None
Misin07G092600	None
Misin07G092700	None
Misin07G092800	None
Misin07G092900	None
Misin07G093000	AT1G10430
Misin07G093100	AT5G26180
Misin07G093200	None
Misin07G093300	AT4G33090
Misin07G093400	None
Misin07G093500	None
Misin07G093600	None
Misin07G093700	AT1G27760
Misin07G093800	AT3G13750
Misin07G093900	AT5G13340
Misin07G094000	AT1G54220
Misin07G094100	AT2G19580
Misin07G094200	AT5G54980
Misin07G094300	AT1G14290
Misin07G094400	None
Misin07G094500	AT1G09640
Misin07G094600	AT5G11850
Misin07G094700	AT5G26040
Misin07G094800	AT5G56960
Misin07G094900	AT4G38510
Misin07G095000	AT3G13920
Misin07G095100	None
Misin07G095200	AT3G13920
Misin07G095300	AT1G80930
Misin07G095400	AT4G22970
Misin07G095500	AT1G17640
Misin07G095600	AT5G08580
Misin07G095700	AT2G26170
Misin07G095800	AT3G59760
Misin07G095900	AT3G62640
Misin07G095900	None
Misin07G096000	None
Misin07G096100	None
Misin07G096200	AT5G36250
Misin07G096300	AT1G17720
Misin07G096400	AT4G26180
Misin07G096500	AT4G26180
Misin07G096600	AT1G73010
Misin07G096700	AT4G14305
Misin07G096800	None
Misin07G096900	AT5G56750
Misin07G097000	AT4G29490
Misin07G097100	AT2G25970
Misin07G097200	AT4G32980
Misin07G097300	AT2G26040
Misin07G097400	AT1G51965
Misin07G097500	AT2G25870
Misin07G097600	AT5G56550
Misin07G097700	AT5G27420
Misin07G097800	AT1G79800
Misin07G097900	AT5G19680
Misin07G098000	AT5G11630
Misin07G098000	None
Misin07G098100	AT5G25840
Misin07G098200	AT1G52140
Misin07G098300	AT1G63640
Misin07G098300	AT1G73860
Misin07G098400	AT4G35300
Misin07G098500	None
Misin07G098600	None
Misin07G098700	AT5G28060
Misin07G098800	AT3G16500
Misin07G098900	AT5G25930
Misin07G099000	AT5G27420
Misin07G099100	AT4G02550
Misin07G099200	AT5G25940
Misin07G099300	AT4G32850
Misin07G099400	None
Misin07G099500	AT1G29260
Misin07G099600	None
Misin07G099700	AT4G01070
Misin07G099800	AT4G01070
Misin07G099900	AT3G58640
Misin07G100000	AT2G38300
Misin07G100100	AT5G45800
Misin07G100200	AT3G22880
Misin07G100300	AT3G14450
Misin07G100400	AT1G17110
Misin07G100500	AT1G78420
Misin07G100600	AT2G34580
Misin07G100700	AT4G18290
Misin07G100800	AT1G29990
Misin07G100900	None
Misin07G101000	AT3G14570
Misin07G101100	AT2G42380
Misin07G101200	AT1G53210
Misin07G101300	None
Misin07G101400	None
Misin07G101500	AT5G06900
Misin07G101600	None
Misin07G101700	AT3G06130
Misin07G101800	AT3G06130
Misin07G101900	AT5G45550
Misin07G102000	AT5G06490
Misin07G102100	AT1G52780
Misin07G102200	AT5G05340
Misin07G102300	AT5G58390
Misin07G102400	AT5G05340
Misin07G102500	AT5G26360
Misin07G102600	AT3G58110
Misin07G102700	None
Misin07G102800	AT5G05340
Misin07G102900	AT5G05340
Misin07G103000	None
Misin07G103100	None
Misin07G103200	AT4G18710
Misin07G103300	AT5G45780
Misin07G103400	AT2G30970
Misin07G103500	AT2G30970
Misin07G103600	AT1G77360
Misin07G103700	AT5G45775
Misin07G103800	AT1G26910
Misin07G103900	AT1G60430
Misin07G104000	AT4G15140
Misin07G104100	AT2G15080
Misin07G104200	AT4G18810
Misin07G104300	None
Misin07G104400	None
Misin07G104500	AT3G14860
Misin07G104600	None
Misin07G104700	AT5G17400
Misin07G104800	None
Misin07G104900	None
Misin07G105000	AT1G19350
Misin07G105100	AT1G29800
Misin07G105200	AT1G21750
Misin07G105300	AT1G05360
Misin07G105400	AT4G18910
Misin07G105500	AT1G53440
Misin07G105600	AT3G49601
Misin07G105700	AT3G58750
Misin07G105800	AT1G65480
Misin07G105900	AT1G53490
Misin07G106000	AT3G24520
Misin07G106100	None
Misin07G106200	AT2G42840
Misin07G106300	AT1G50650
Misin07G106400	AT4G20970
Misin07G106500	None
Misin07G106600	AT2G43040
Misin07G106700	AT5G11590
Misin07G106800	AT5G11590
Misin07G106900	AT3G46530
Misin07G107000	AT4G10160
Misin07G107100	AT5G43420
Misin07G107200	AT5G47610
Misin07G107300	AT5G42200
Misin07G107400	AT3G18930
Misin07G107500	AT4G40070
Misin07G107600	AT2G34000
Misin07G107700	None
Misin07G107800	AT1G53520
Misin07G107900	AT4G40070
Misin07G108000	AT2G42360
Misin07G108100	AT4G40070
Misin07G108200	AT5G06490
Misin07G108300	AT4G15975
Misin07G108400	AT1G59620
Misin07G108500	AT4G03280
Misin07G108600	AT1G06230
Misin07G108700	None
Misin07G108800	AT4G22810
Misin07G108900	AT5G57015
Misin07G109000	AT1G06230
Misin07G109100	AT5G45910
Misin07G109200	AT5G25930
Misin07G109300	AT3G53040
Misin07G109400	AT4G18593
Misin07G109500	AT1G17147
Misin07G109600	AT5G38510
Misin07G109700	AT1G79580
Misin07G109800	None
Misin07G109900	AT2G36430
Misin07G110000	AT5G53120
Misin07G110100	AT5G53130
Misin07G110200	AT5G53130
Misin07G110300	AT5G53140
Misin07G110400	AT1G01350
Misin07G110500	AT5G53160
Misin07G110600	None
Misin07G110700	AT5G45530
Misin07G110800	AT4G23820
Misin07G110900	AT3G16720
Misin07G111000	AT4G40070
Misin07G111100	None
Misin07G111200	AT1G68390
Misin07G111300	AT5G24130
Misin07G111400	AT4G01050
Misin07G111500	AT5G53210
Misin07G111600	None
Misin07G111700	AT4G23800
Misin07G111800	AT2G46380
Misin07G111900	AT3G24315
Misin07G112000	AT5G41761
Misin07G112100	AT1G64140
Misin07G112200	AT1G35680
Misin07G112300	AT5G11220
Misin07G112400	AT2G46240
Misin07G112500	None
Misin07G112600	AT3G61590
Misin07G112700	None
Misin07G112800	AT5G41620
Misin07G112900	AT3G61600
Misin07G113000	AT2G46300
Misin07G113100	AT1G74700
Misin07G113200	AT3G14470
Misin07G113300	AT5G53280
Misin07G113400	AT5G42570
Misin07G113500	AT5G21150
Misin07G113600	AT1G20190
Misin07G113700	AT5G42570
Misin07G113800	AT4G01250
Misin07G113900	AT3G47810
Misin07G114000	AT2G46150
Misin07G114100	AT4G11220
Misin07G114200	AT1G16930
Misin07G114200	AT1G51370
Misin07G114200	AT5G53840
Misin07G114300	AT1G07780
Misin07G114400	AT4G03120
Misin07G114500	AT3G16010
Misin07G114600	AT3G24530
Misin07G114700	AT3G24560
Misin07G114800	AT3G24590
Misin07G114900	AT1G20190
Misin07G115000	None
Misin07G115100	AT5G26570
Misin07G115200	AT5G66930
Misin07G115300	AT1G22340
Misin07G115400	AT4G32760
Misin07G115500	AT2G37710
Misin07G115600	AT3G16520
Misin07G115700	AT5G13930
Misin07G115800	AT1G52245
Misin07G115900	AT2G26160
Misin07G116000	AT2G20120
Misin07G116100	AT5G56320
Misin07G116200	AT3G51860
Misin07G116300	AT2G34050
Misin07G116400	None
Misin07G116500	AT4G29010
Misin07G116600	AT4G29000
Misin07G116700	None
Misin07G116800	AT1G47210
Misin07G116900	AT1G67300
Misin07G117000	None
Misin07G117100	AT1G15220
Misin07G117200	AT2G03220
Misin07G117300	AT2G03220
Misin07G117400	AT3G43520
Misin07G117500	None
Misin07G117600	None
Misin07G117700	None
Misin07G117800	AT2G03220
Misin07G117900	AT3G16190
Misin07G118000	AT3G16190
Misin07G118100	None
Misin07G118200	AT4G32770
Misin07G118300	AT2G20100
Misin07G118300	AT4G29100
Misin07G118400	AT4G32360
Misin07G118500	AT4G08850
Misin07G118600	AT4G28850
Misin07G118700	None
Misin07G118800	None
Misin07G118900	AT4G28860
Misin07G119000	AT1G67280
Misin07G119100	AT5G09850
Misin07G119200	AT3G58530
Misin07G119300	AT5G39600
Misin07G119400	AT4G19210
Misin07G119500	AT3G13640
Misin07G119600	AT5G10290
Misin07G119700	AT4G35160
Misin07G119800	None
Misin07G119900	AT4G20260
Misin07G120000	AT3G12690
Misin07G120100	AT5G11540
Misin07G120200	AT5G13650
Misin07G120300	None
Misin07G120400	AT4G10955
Misin07G120500	AT4G37280
Misin07G120600	AT5G53370
Misin07G120700	None
Misin07G120800	None
Misin07G120900	AT5G52450
Misin07G121000	None
Misin07G121100	None
Misin07G121200	AT3G14490
Misin07G121300	AT4G16730
Misin07G121400	None
Misin07G121500	AT4G16730
Misin07G121600	AT4G33280
Misin07G121700	None
Misin07G121800	AT3G27785
Misin07G121900	AT4G18770
Misin07G122000	None
Misin07G122100	AT3G02645
Misin07G122200	AT1G14610
Misin07G122300	AT1G56170
Misin07G122400	AT1G31770
Misin07G122500	AT4G38180
Misin07G122600	None
Misin07G122700	AT5G17640
Misin07G122800	None
Misin07G122900	None
Misin07G123000	None
Misin07G123100	None
Misin07G123200	None
Misin07G123300	None
Misin07G123400	AT5G44950
Misin07G123500	AT2G35635
Misin07G123600	AT3G05690
Misin07G123700	None
Misin07G123800	AT3G05690
Misin07G123900	None
Misin07G124000	AT3G14540
Misin07G124100	AT1G05300
Misin07G124200	AT4G28556
Misin07G124300	None
Misin07G124400	AT4G04890
Misin07G124500	AT4G04885
Misin07G124600	AT1G61800
Misin07G124700	AT4G27030
Misin07G124800	AT5G54890
Misin07G124900	AT4G27030
Misin07G125000	None
Misin07G125100	AT1G11720
Misin07G125200	AT2G07050
Misin07G125300	None
Misin07G125400	AT2G05710
Misin07G125500	AT1G61780
Misin07G125600	AT1G50660
Misin07G125700	AT1G11650
Misin07G125800	AT5G39110
Misin07G125900	AT3G23780
Misin07G126000	None
Misin07G126100	AT2G21990
Misin07G126200	None
Misin07G126300	None
Misin07G126400	None
Misin07G126500	AT3G29590
Misin07G126600	None
Misin07G126700	None
Misin07G126800	None
Misin07G126900	AT4G27340
Misin07G127000	AT4G10180
Misin07G127100	None
Misin07G127200	AT1G12890
Misin07G127300	AT3G29670
Misin07G127400	AT3G29670
Misin07G127500	AT4G14540
Misin07G127600	AT1G34210
Misin07G127700	AT4G31010
Misin07G127800	None
Misin07G127900	AT1G14200
Misin07G128000	AT1G69085
Misin07G128100	AT4G12190
Misin07G128200	AT1G34220
Misin07G128300	AT4G32070
Misin07G128400	AT5G18750
Misin07G128500	AT1G12350
Misin07G128600	None
Misin07G128700	AT4G13920
Misin07G128800	AT1G80670
Misin07G128900	AT5G10480
Misin07G129000	AT1G77920
Misin07G129100	None
Misin07G129200	AT2G35795
Misin07G129300	AT1G12470
Misin07G129400	AT1G11260
Misin07G129500	AT4G27310
Misin07G129600	None
Misin07G129700	None
Misin07G129800	None
Misin07G129900	None
Misin07G130000	None
Misin07G130100	None
Misin07G130200	None
Misin07G130300	None
Misin07G130400	None
Misin07G130500	None
Misin07G130600	AT2G33590
Misin07G130700	AT1G56170
Misin07G130800	None
Misin07G130900	AT1G50410
Misin07G131000	AT4G15180
Misin07G131100	AT1G08050
Misin07G131200	AT3G20650
Misin07G131300	AT5G54540
Misin07G131400	AT1G61660
Misin07G131500	AT4G21390
Misin07G131600	AT5G16450
Misin07G131700	None
Misin07G131800	None
Misin07G131900	None
Misin07G132000	None
Misin07G132100	None
Misin07G132200	None
Misin07G132300	None
Misin07G132400	AT1G62040
Misin07G132500	None
Misin07G132600	AT1G11840
Misin07G132700	AT1G48920
Misin07G132700	None
Misin07G132800	AT5G66500
Misin07G132900	AT1G11840
Misin07G133000	None
Misin07G133100	None
Misin07G133200	AT3G59040
Misin07G133300	None
Misin07G133400	None
Misin07G133500	AT1G06230
Misin07G133600	AT3G18610
Misin07G133700	AT2G34630
Misin07G133800	AT4G05460
Misin07G133900	AT1G56170
Misin07G134000	AT4G05460
Misin07G134100	AT4G05460
Misin07G134200	AT1G15950
Misin07G134300	AT4G08700
Misin07G134400	AT4G03630
Misin07G134500	None
Misin07G134600	AT1G56010
Misin07G134700	AT1G16670
Misin07G134800	AT5G46190
Misin07G134900	AT2G16930
Misin07G135000	AT2G26790
Misin07G135100	AT3G20490
Misin07G135200	AT1G79040
Misin07G135300	AT3G02610
Misin07G135400	AT1G30580
Misin07G135500	AT3G58880
Misin07G135600	AT5G53840
Misin07G135700	AT5G03100
Misin07G135800	None
Misin07G135900	AT5G23210
Misin07G136000	AT1G56130
Misin07G136100	AT4G12110
Misin07G136200	AT2G32980
Misin07G136300	AT1G70330
Misin07G136400	AT3G48670
Misin07G136500	AT4G00380
Misin07G136600	None
Misin07G136700	AT2G32200
Misin07G136800	AT2G32200
Misin07G136900	AT3G22200
Misin07G137000	AT1G17680
Misin07G137100	None
Misin07G137200	AT2G35060
Misin07G137300	AT1G56170
Misin07G137400	AT2G35040
Misin07G137500	None
Misin07G137600	AT2G02130
Misin07G137700	AT5G52230
Misin07G137800	AT1G31070
Misin07G137900	AT1G05310
Misin07G138000	AT3G12750
Misin07G138100	AT1G30960
Misin07G138200	AT3G61415
Misin07G138300	AT4G39330
Misin07G138400	None
Misin07G138500	AT4G30200
Misin07G138600	None
Misin07G138700	AT1G64520
Misin07G138800	AT3G49500
Misin07G138900	AT1G03475
Misin07G139000	AT3G19184
Misin07G139100	AT1G13270
Misin07G139200	AT3G20310
Misin07G139300	AT2G37260
Misin07G139400	AT5G60190
Misin07G139500	AT3G06190
Misin07G139600	AT4G32300
Misin07G139700	AT1G79350
Misin07G139800	AT4G28400
Misin07G139900	AT4G22310
Misin07G140000	AT2G07050
Misin07G140100	AT4G31170
Misin07G140200	AT5G58090
Misin07G140300	AT2G32730
Misin07G140400	AT2G38670
Misin07G140500	None
Misin07G140600	AT3G14460
Misin07G140700	None
Misin07G140800	AT2G22230
Misin07G140900	AT1G78895
Misin07G141000	AT4G31350
Misin07G141100	ArthCp030
Misin07G141200	AT3G06190
Misin07G141300	AT3G06190
Misin07G141400	AT3G06190
Misin07G141500	AT5G19000
Misin07G141600	AT3G06190
Misin07G141700	AT1G59740
Misin07G141800	AT3G03740
Misin07G141900	AT5G19000
Misin07G142000	AT3G06190
Misin07G142100	AT3G03740
Misin07G142200	AT5G19000
Misin07G142300	AT5G19000
Misin07G142400	None
Misin07G142500	AT1G27220
Misin07G142600	None
Misin07G142700	AT5G19000
Misin07G142800	AT3G06190
Misin07G142900	AT2G46870
Misin07G143000	AT2G46870
Misin07G143100	None
Misin07G143200	AT1G78880
Misin07G143300	AT1G51550
Misin07G143400	AT1G51590
Misin07G143500	AT4G29905
Misin07G143600	None
Misin07G143700	None
Misin07G143800	None
Misin07G143900	AT3G13580
Misin07G144000	None
Misin07G144100	AT3G14470
Misin07G144200	AT5G57550
Misin07G144300	AT4G14130
Misin07G144400	AT2G07050
Misin07G144500	AT2G07050
Misin07G144600	AT5G57550
Misin07G144700	AT5G57560
Misin07G144800	AT4G05460
Misin07G144900	None
Misin07G145000	AT5G57560
Misin07G145100	AT1G59940
Misin07G145200	AT3G23570
Misin07G145300	None
Misin07G145400	None
Misin07G145500	AT3G23600
Misin07G145600	AT3G23570
Misin07G145700	AT3G23570
Misin07G145800	AT5G60440
Misin07G145900	None
Misin07G146000	AT5G17520
Misin07G146000	AT5G17523
Misin07G146100	AT5G57550
Misin07G146200	AT5G57560
Misin07G146300	AT2G41350
Misin07G146400	AT2G04400
Misin07G146500	AT5G57330
Misin07G146600	AT4G30825
Misin07G146700	AT5G09220
Misin07G146800	AT5G17810
Misin07G146900	AT1G80660
Misin07G146900	AT2G24520
Misin07G146900	AT5G57350
Misin07G147000	AT4G30210
Misin07G147100	AT2G18876
Misin07G147100	AT5G57410
Misin07G147200	None
Misin07G147300	None
Misin07G147400	AT5G57460
Misin07G147500	None
Misin07G147600	None
Misin07G147700	AT5G06760
Misin07G147800	AT4G25840
Misin07G147900	AT1G60490
Misin07G148000	AT1G51680
Misin07G148100	AT2G18850
Misin07G148200	AT4G30240
Misin07G148300	AT3G22060
Misin07G148400	AT4G11530
Misin07G148500	None
Misin07G148600	None
Misin07G148700	AT2G43610
Misin07G148800	AT2G43610
Misin07G148900	AT5G57440
Misin07G149000	AT4G33720
Misin07G149100	AT4G16850
Misin07G149200	AT3G21200
Misin07G149300	AT4G30360
Misin07G149400	AT2G18710
Misin07G149500	AT2G24630
Misin07G149600	AT5G57710
Misin07G149700	AT2G18990
Misin07G149800	AT3G21215
Misin07G149900	AT1G09270
Misin07G150000	AT2G24762
Misin07G150100	AT1G59940
Misin07G150200	AT5G57670
Misin07G150300	AT2G24790
Misin07G150400	AT2G24765
Misin07G150500	None
Misin07G150600	AT3G20330
Misin07G150700	AT5G57620
Misin07G150800	None
Misin07G150900	None
Misin07G151000	AT5G40780
Misin07G151100	None
Misin07G151200	None
Misin07G151300	None
Misin07G151400	AT5G57740
Misin07G151500	AT3G48280
Misin07G151600	AT4G28030
Misin07G151700	AT1G21270
Misin07G151800	AT4G30410
Misin07G151900	AT2G23810
Misin07G152000	AT1G68220
Misin07G152100	None
Misin07G152200	AT5G57560
Misin07G152300	AT2G23180
Misin07G152400	AT3G55130
Misin07G152500	None
Misin07G152600	AT3G14470
Misin07G152700	AT4G30490
Misin07G152800	AT1G79660
Misin07G152900	None
Misin07G153000	AT1G16080
Misin07G153100	AT5G25910
Misin07G153200	AT5G04670
Misin07G153300	AT4G30840
Misin07G153400	AT5G54855
Misin07G153500	AT5G41760
Misin07G153600	AT4G16270
Misin07G153700	AT3G53900
Misin07G153800	AT3G02260
Misin07G153900	AT5G02070
Misin07G154000	None
Misin07G154100	AT5G25080
Misin07G154200	AT5G57900
Misin07G154300	None
Misin07G154400	None
Misin07G154500	AT3G54740
Misin07G154600	None
Misin07G154700	AT5G49530
Misin07G154800	AT5G57910
Misin07G154900	None
Misin07G155000	AT1G52500
Misin07G155100	AT3G59140
Misin07G155200	AT5G61190
Misin07G155300	AT5G45890
Misin07G155400	AT4G35160
Misin07G155500	AT1G16000
Misin07G155600	AT1G80880
Misin07G155700	AT2G23990
Misin07G155800	AT3G16520
Misin07G155900	None
Misin07G156000	None
Misin07G156100	AT3G55490
Misin07G156200	AT1G80870
Misin07G156300	AT1G32490
Misin07G156400	AT1G33520
Misin07G156500	AT5G25100
Misin07G156600	None
Misin07G156700	AT1G15980
Misin07G156800	AT1G13960
Misin07G156900	AT2G30870
Misin07G157000	None
Misin07G157100	AT4G25630
Misin07G157200	AT2G24230
Misin07G157300	None
Misin07G157400	AT4G10850
Misin07G157500	None
Misin07G157600	AT4G10850
Misin07G157700	ArthCp014
Misin07G157800	AT3G07140
Misin07G157900	None
Misin07G158000	AT5G20165
Misin07G158100	AT5G53050
Misin07G158200	AT3G49260
Misin07G158300	AT1G51190
Misin07G158400	AT4G03500
Misin07G158500	AT1G08490
Misin07G158600	AT3G53810
Misin07G158700	AT1G67850
Misin07G158800	None
Misin07G158900	AT5G24280
Misin07G159000	AT2G33840
Misin07G159100	AT1G50170
Misin07G159200	AT2G02120
Misin07G159300	AT2G02120
Misin07G159400	AT3G44260
Misin07G159500	AT1G79090
Misin07G159600	None
Misin07G159700	None
Misin07G159800	AT5G53350
Misin07G159900	AT4G27880
Misin07G160000	AT5G19440
Misin07G160100	AT1G36320
Misin07G160200	None
Misin07G160300	AT5G41020
Misin07G160400	AT1G09815
Misin07G160500	AT5G45550
Misin07G160600	AT5G35530
Misin07G160700	None
Misin07G160800	None
Misin07G160900	AT1G31830
Misin07G161000	AT5G20480
Misin07G161100	AT3G47580
Misin07G161200	AT3G47570
Misin07G161300	AT2G39000
Misin07G161400	AT3G07510
Misin07G161500	None
Misin07G161600	AT5G17170
Misin07G161700	AT4G19350
Misin07G161800	AT3G58030
Misin07G161900	AT2G42030
Misin07G162000	AT1G07590
Misin07G162100	AT5G57150
Misin07G162200	AT1G80490
Misin07G162300	AT2G01970
Misin07G162400	None
Misin07G162500	AT5G25530
Misin07G162600	AT4G15130
Misin07G162700	AT1G32050
Misin07G162800	AT3G03070
Misin07G162900	AT2G24320
Misin07G163000	AT5G16910
Misin07G163100	None
Misin07G163200	None
Misin07G163300	AT1G80770
Misin07G163400	AT5G45420
Misin07G163500	AT1G32400
Misin07G163600	AT1G32540
Misin07G163700	AT2G35270
Misin07G163800	AT1G32360
Misin07G163900	AT1G20920
Misin07G164000	AT1G32240
Misin07G164100	None
Misin07G164200	None
Misin07G164300	None
Misin07G164400	AT1G69900
Misin07G164500	None
Misin07G164600	None
Misin07G164700	AT5G03240
Misin07G164800	AT4G03510
Misin07G164900	None
Misin07G165000	None
Misin07G165100	AT4G27585
Misin07G165200	AT1G30760
Misin07G165300	None
Misin07G165400	None
Misin07G165500	None
Misin07G165600	AT5G44440
Misin07G165700	AT4G20820
Misin07G165800	AT5G44440
Misin07G165900	AT1G33060
Misin07G166000	None
Misin07G166100	AT1G01030
Misin07G166200	AT1G01060
Misin07G166300	None
Misin07G166400	None
Misin07G166500	AT5G54160
Misin07G166600	AT3G02100
Misin07G166700	AT2G36910
Misin07G166800	None
Misin07G166900	AT3G03740
Misin07G167000	AT5G21010
Misin07G167100	None
Misin07G167200	AT5G07990
Misin07G167300	None
Misin07G167400	None
Misin07G167500	None
